model,accuracy,precision,recall,f1_score,cv_f1_mean,cv_f1_std,tp,tn,fp,fn
Logistic Regression,0.964,0.9951,0.8932,0.9414,0.9232,0.0084,410,957,2,49
Naive Bayes,0.9506,0.9332,0.9129,0.9229,0.9187,0.0063,419,929,30,40
SVM (Linear),0.9718,0.9906,0.9216,0.9549,0.9463,0.0075,423,955,4,36
